variable,estimate,standard_error,z_value,p_value
(Intercept),-6.552969228323416,0.08107558321443624,-80.82543434799,0
PM2.5_concentration,0.023644151410130845,0.007561084444104818,3.127084690684228,0.0017654906173999584
"factor(population_density_quantile)(14.3,42.1]",0.04782683479190357,0.024476868936709674,1.9539604888015034,0.050705890058319616
"factor(population_density_quantile)(383,7.94e+04]",0.030089444068667166,0.025066697216513348,1.2003752951084816,0.2299936191092618
"factor(population_density_quantile)(42.1,107]",0.006110947113027682,0.02200292930350488,0.27773334308056247,0.7812170630710082
"factor(population_density_quantile)[0.218,14.3]",0.040391924023981014,0.034052927854571244,1.1861512818070012,0.2355625617049796
scale(proportion_poor),0.01803712168139251,0.010044894804697049,1.7956506297067694,0.07255009832674716
scale(log(median_house_value)),-0.06675991112355713,0.017268362348861817,-3.8660244541346085,1.106238507809413e-4
scale(log(median_household_income)),0.030654752602784302,0.017185218708301,1.7837860037229025,0.07445844472951149
scale(proportion_owner_occupied),0.02945267760472421,0.01038120807067583,2.837114659893991,0.004552326054656721
scale(proportion_no_high_school),0.07430915846578408,0.012302273159459897,6.040278695051057,1.5384826232687836e-9
scale(proportion_black),0.00904333636491491,0.011708995904535426,0.7723408940139791,0.4399125508892001
scale(proportion_hispanic),0.05538234544343018,0.012344936753618635,4.486239706914344,7.249118175136979e-6
scale(proportion_65_and_over),0.16753296176087076,0.015825636462985494,10.586175295553693,3.454183234389934e-26
scale(proportion_15_to_44),-0.08049943547933605,0.019111700946326103,-4.212049764979746,2.5306377171388768e-5
scale(proportion_45_to_64),-0.10787220815878437,0.014902525265763722,-7.238518723172663,4.5361159640770943e-13
scale(days_since_social_distancing),0.01031824409474065,0.05087242696873515,0.20282586677222947,0.8392711393695595
scale(days_since_covid),0.0543746433142758,0.015778813500017544,3.4460539960254515,5.688366865895582e-4
scale(hospital_beds/population),0.06101162945221827,0.008597748223817023,7.096233556038209,1.282027518936753e-12
scale(proportion_obsese),0.013549385322182137,0.009810571911106231,1.3811004541787535,0.16724807597236196
scale(proportion_smoke),0.09160814198867086,0.016632055215154998,5.507926759718681,3.630843981034595e-8
scale(summer_mean_maximum_temperature),0.1964529106479077,0.023760661263305376,8.267990039119764,1.3623627239096296e-16
scale(winter_mean_maximum_temperature),-0.19984189520139503,0.033430199197058606,-5.977885265457179,2.2605284718575295e-9
scale(summer_mean_relative_humidity),0.04438030262273119,0.0233109382693633,1.9038402534426757,0.05693099226054089
scale(winter_mean_relative_humidity),-0.08031000240619972,0.014540799405588965,-5.5230802768196785,3.331074436824504e-8
