variable,estimate,standard_error,z_value,p_value
(Intercept),-10.333580631611404,0.1954695246582624,-52.86543081167006,0
PM2.5_concentration,0.04272191453135476,0.019958257999960146,2.14056329622756,0.03230927132818275
"factor(population_density_quantile)(14.3,42.1]",0.169056966724182,0.07128865582624207,2.371442759928578,0.017718790985556246
"factor(population_density_quantile)(383,7.94e+04]",0.07450450096721128,0.06423580928700272,1.159859302687828,0.24610609467170746
"factor(population_density_quantile)(42.1,107]",0.0700195511193804,0.062017151044272294,1.129035273958254,0.2588829537494511
"factor(population_density_quantile)[0.218,14.3]",0.15687616830569048,0.10985228540415069,1.4280646754734065,0.1532732438040411
scale(proportion_poor),0.0533213651077834,0.03959318775455468,1.34673079213354,0.17806695135789777
scale(log(median_house_value)),0.08402495012364941,0.04821779041508005,1.7426130355689364,0.08140123146193587
scale(log(median_household_income)),0.01487521816978271,0.057835538851007416,0.2571985748780415,0.7970254840961768
scale(proportion_owner_occupied),0.004843410361139862,0.028589257875361734,0.16941364418255572,0.8654712921207348
scale(proportion_no_high_school),0.1159448575763464,0.0385123276188172,3.0105907574304993,0.00260740012808469
scale(proportion_black),0.0687568243021247,0.029763337216766512,2.3101181094501753,0.02088161610649907
scale(proportion_hispanic),0.20614847566100475,0.04804769791709651,4.290496414972927,1.7827416407660544e-5
scale(proportion_65_and_over),-0.02253507409403298,0.04519716505249698,-0.4985948580593109,0.6180648282837198
scale(proportion_15_to_44),-0.20447998710503662,0.0564520005092512,-3.622192043867905,2.9211712136863936e-4
scale(proportion_45_to_64),-0.1025421927032024,0.04080798893215848,-2.512797013194509,0.011977823141508354
scale(days_since_social_distancing),0.059724338127335436,0.084946947404204,0.7030780970050455,0.4820070811504629
scale(days_since_covid),0.149887726441609,0.057189767069780725,2.6208836671553817,0.00877021835770591
scale(hospital_beds/population),0.06925626552229569,0.027889768129928695,2.483214102019598,0.013020280418655158
scale(proportion_obsese),0.05830695737216577,0.028282570561241036,2.061586207162892,0.03924714830495815
scale(proportion_smoke),0.14683655390303327,0.047300741646869995,3.104318215542183,0.0019071808563914641
scale(summer_mean_maximum_temperature),0.2160526184579427,0.06468671495754105,3.3399843940097274,8.37830978737768e-4
scale(winter_mean_maximum_temperature),0.30878311030155864,0.08029742229801877,3.8454921897184917,1.2031069688138363e-4
scale(summer_mean_relative_humidity),-0.09762404446223512,0.05597877869974273,-1.7439473802361427,0.08116826571793216
scale(winter_mean_relative_humidity),0.05161805624906511,0.036079336864378135,1.4306819563534903,0.15252138681421185
