variable,estimate,standard_error,z_value,p_value
(Intercept),-8.147953646224291,0.12106597148343155,-67.30176569342093,0
PM2.5_concentration,0.007572746889243632,0.012008581154040918,0.6306112930498358,0.5282947130288824
"factor(population_density_quantile)(14.3,42.1]",0.010159371869143924,0.04104742590808394,0.24750326346634863,0.8045187661724447
"factor(population_density_quantile)(383,7.94e+04]",0.03977892440281318,0.03983993586593331,0.9984685853078317,0.3180521903851331
"factor(population_density_quantile)(42.1,107]",-0.03858791817766667,0.03657719886363822,-1.0549719326929468,0.2914381615500941
"factor(population_density_quantile)[0.218,14.3]",0.03898288290078411,0.05693552785718921,0.6846846664628186,0.49354292698985325
scale(proportion_poor),0.02412737362454505,0.02333996294360095,1.0337365865938526,0.3012593241183291
scale(log(median_house_value)),-0.17580669121602688,0.029326054143245593,-5.994897586879033,2.036137203310265e-9
scale(log(median_household_income)),0.029714117191065672,0.03434410201586423,0.8651883568637236,0.3869354148310785
scale(proportion_owner_occupied),0.02688338468102516,0.017991333723674886,1.4942407880328061,0.13511269526781838
scale(proportion_no_high_school),0.05305256393365738,0.023540166891389765,2.2537038152037185,0.024214807196361165
scale(proportion_black),-0.1291752046943304,0.020229940854763033,-6.385347620228794,1.710085534391428e-10
scale(proportion_hispanic),0.0021793637078840696,0.0318152051620243,0.06850069634268559,0.9453870657784658
scale(proportion_65_and_over),0.22342954044381064,0.02692088092673965,8.299488454773604,1.045606292360527e-16
scale(proportion_15_to_44),-0.050563398919439805,0.03274217409202652,-1.5442895996253703,0.12251819099436337
scale(proportion_45_to_64),-0.126659433842306,0.02487020475448607,-5.092818297744785,3.5277975981844287e-7
scale(days_since_social_distancing),0.09139675023409254,0.06471784237511058,1.412234198172871,0.15788101412345634
scale(days_since_covid),0.04966833493177584,0.025727760384704975,1.93053472937751,0.05354061637138155
scale(hospital_beds/population),0.06311603597317707,0.013946138212143145,4.525699875698983,6.0195957438438916e-6
scale(proportion_obsese),0.03030648577168283,0.016866584881369537,1.7968359323978333,0.0723616700816548
scale(proportion_smoke),0.05595048517242719,0.027978558774907458,1.9997629478544237,0.04552586731389151
scale(summer_mean_maximum_temperature),0.18454755303436132,0.03879665433454742,4.756790403703097,1.9669520444050648e-6
scale(winter_mean_maximum_temperature),-0.3870004573300423,0.053103444707666723,-7.287671439404188,3.1535788638302887e-13
scale(summer_mean_relative_humidity),0.01672685003230813,0.035671930883350925,0.4689078953142683,0.6391354725955081
scale(winter_mean_relative_humidity),-0.10147729366797142,0.02361118043238841,-4.297849231153684,1.7246340285384903e-5
