variable,estimate,standard_error,z_value,p_value
(Intercept),-11.478116428796763,0.30435910270387884,-37.71241381258837,0
PM2.5_concentration,0.05694762404246321,0.03570445741011817,1.5949723976571342,0.11071840837685869
"factor(population_density_quantile)(186,7.22e+04]",0.012174609228887991,0.14408457354458173,0.08449627138689488,0.9326618672437647
"factor(population_density_quantile)(33,67]",-0.10826987430363112,0.11200574943052763,-0.9666456842984323,0.333721188435869
"factor(population_density_quantile)(67,186]",-0.13436040243664854,0.12094928657570139,-1.1108821411075724,0.26661908357782926
"factor(population_density_quantile)[0.0385,12.5]",0.2301675555218976,0.18375396398073,1.2525855254259164,0.2103565852800949
scale(proportion_poor),0.3780577121773817,0.09538171011464475,3.9636289989241384,7.381894482402023e-5
scale(log(median_house_value)),0.1150022618769239,0.09354238873540259,1.229413354005995,0.21891686593226106
scale(log(median_household_income)),0.5330771443099956,0.12492232230328683,4.267268927452286,1.978805633290391e-5
scale(proportion_owner_occupied),-0.03072302495894,0.05527612054212867,-0.5558100796079648,0.578340694189643
scale(proportion_no_high_school),0.3860367357817185,0.07218504068984233,5.347877234570022,8.899179199183687e-8
scale(proportion_black),0.370638987184095,0.05147555641187934,7.200291031697527,6.008417516792368e-13
scale(proportion_hispanic),-0.11035303952296371,0.06677903914985342,-1.6525101428208546,0.09843059918778226
scale(proportion_65_and_over),0.32648985408293574,0.09184655828734621,3.554731501876174,3.783652574944479e-4
scale(proportion_15_to_44),0.09466336036084907,0.13790610126188493,0.6864334463424682,0.49243981937285664
scale(proportion_45_to_64),0.06327302783257718,0.0826285524862177,0.765752587074922,0.4438235304345061
scale(days_since_social_distancing),0.12001653355009675,0.14526299111981839,0.8262017229915264,0.408689671021642
scale(days_since_covid),1.019646623501528,0.0858877397861314,11.87185302629391,1.6575500909618754e-32
scale(hospital_beds/population),-0.006880249518536929,0.04860296425186161,-0.14156028597110512,0.8874273381453933
scale(proportion_obsese),0.001684007024596494,0.04466779603895999,0.03770069656285874,0.9699263206162301
scale(proportion_smoke),-0.10773983772817751,0.08928684118526016,-1.206670952829762,0.22755888981349615
scale(summer_mean_maximum_temperature),0.008069609399716092,0.09457813534680683,0.08532214523077443,0.9320052863783062
scale(winter_mean_maximum_temperature),0.08247433558863103,0.13161114562983145,0.6266516045730485,0.5308876335576231
scale(summer_mean_relative_humidity),-0.1591011015101134,0.08918925974539214,-1.7838594239294958,0.07444651067421534
scale(winter_mean_relative_humidity),0.008067344910570975,0.05639928764364085,0.1430398369841926,0.8862587193011934
