variable,estimate,standard_error,z_value,p_value
(Intercept),-6.214375798564254,0.0696044770348794,-89.28126556356679,0
PM2.5_concentration,0.013953244138736857,0.007338329754244623,1.9014196153649334,0.05724707227955403
"factor(population_density_quantile)(186,7.22e+04]",0.07076711240771844,0.02736937267417668,2.5856315104543124,0.009720078439074072
"factor(population_density_quantile)(33,67]",0.009280308410582671,0.01886507416722961,0.4919306613012649,0.6227683619972313
"factor(population_density_quantile)(67,186]",0.035366151034490895,0.02150248279249291,1.6447473241014827,0.10002192914210181
"factor(population_density_quantile)[0.0385,12.5]",-0.04632103093505071,0.025703334844225424,-1.8021408978943179,0.07152324054663795
scale(proportion_poor),-0.04371842954355354,0.016182332999292264,-2.701614751436988,0.006900366439021759
scale(log(median_house_value)),-0.07671856776230468,0.01611601069756714,-4.76039444264492,1.9321496865373604e-6
scale(log(median_household_income)),-0.04349642340257318,0.02009857740826127,-2.1641543338631775,0.030452506701210805
scale(proportion_owner_occupied),0.005024398080505914,0.010367367096660886,0.4846358804179094,0.6279346571534354
scale(proportion_no_high_school),0.09500234693878316,0.012155871003350738,7.815346749944614,5.481192825979632e-15
scale(proportion_black),0.003364856619491945,0.009923538948317016,0.3390782902164765,0.7345507525743378
scale(proportion_hispanic),0.01917595870084569,0.011772707983365464,1.6288485816467062,0.10334507731155809
scale(proportion_65_and_over),0.15626625723077106,0.014657946913054425,10.660855722679669,1.551631547080511e-26
scale(proportion_15_to_44),-0.06301091149718824,0.01665726978617873,-3.782787473939527,1.5508182219979016e-4
scale(proportion_45_to_64),-0.068381520909581,0.013021578143973261,-5.251400418099846,1.5094713394234153e-7
scale(days_since_social_distancing),-0.006242546542103425,0.04550830218046051,-0.1371737956153357,0.890893423159968
scale(days_since_covid),0.07049185045064434,0.0172336893531161,4.0903516946531475,4.3071955781078355e-5
scale(hospital_beds/population),0.029625515827800188,0.007069088813793528,4.190853532635427,2.7790702429152963e-5
scale(proportion_obsese),0.011263207827649883,0.007936664576210745,1.419136177357183,0.15585931850606455
scale(proportion_smoke),0.07778967260935185,0.0164801127908421,4.72021481871041,2.3559570087939416e-6
scale(summer_mean_maximum_temperature),0.14769267346685253,0.019126555883568878,7.721864530442275,1.1464020151025831e-14
scale(winter_mean_maximum_temperature),-0.10712645633099484,0.02702856229677943,-3.9634537403330334,7.387318361740317e-5
scale(summer_mean_relative_humidity),0.028899531149703266,0.01910130417432496,1.512961151026986,0.13028952723068493
scale(winter_mean_relative_humidity),-0.04441869695483884,0.011465520459341745,-3.8741108275331615,1.0701470692758329e-4
